Message,Category
I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,ham
If I die I want u to have all my stuffs.,ham
I.ll post her out l8r. In class,ham
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",spam
I'm awake oh. What's up.,ham
Have you started in skye,ham
K:)all the best:)congrats...,ham
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",ham
Alright i have a new goal now,ham
Hey... are you going to quit soon? Xuhui and i working till end of the month,ham
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
Shant disturb u anymore... Jia you...,ham
Yes its possible but dint try. Pls dont tell to any one k,ham
Captain is in our room:),ham
Cuz ibored. And don wanna study,ham
Si si. I think ill go make those oreo truffles.,ham
"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",ham
2/2 146tf150p,spam
Yup but it's not giving me problems now so mayb i'll jus leave it...,ham
"Sorry, I'll call later",ham
There bold 2  &lt;#&gt; . Is that yours,ham
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june.",ham
"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",ham
Nah im goin 2 the wrks with j wot bout u?,ham
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham
Every day i use to sleep after  &lt;#&gt;  so only.,ham
Nationwide auto centre (or something like that) on Newport road. I liked them there,ham
Oh... Kay... On sat right?,ham
Should I have picked up a receipt or something earlier,ham
Go chase after her and run her over while she's crossing the street,ham
"I'm in solihull, | do you want anything?",ham
"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u",ham
Meet after lunch la...,ham
"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",ham
Yeah confirmed for you staying at  that weekend,ham
These won't do. Have to move on to morphine,ham
Ok ok take care. I can understand.,ham
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
"Yeah, that's fine! It's £6 to get in, is that ok?",ham
Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,ham
"Sorry, I'll call later in meeting",ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
I plane to give on this month end.,ham
It's ok lar. U sleep early too... Nite...,ham
Good evening! this is roger. How are you?,ham
"As usual..iam fine, happy &amp; doing well..:)",ham
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
K. I will sent it again,ham
I'm leaving my house now...,ham
You in your room? I need a few,ham
Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max,spam
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,ham
How much u trying to get?,ham
Wife.how she knew the time of murder exactly,ham
Hanging out with my brother and his family,ham
Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,ham
I'm reaching home in 5 min.,ham
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam
Fffff. Can you text kadeem or are you too far gone,ham
Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham
Tell me something. Thats okay.,ham
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",spam
All will come alive.better correct any good looking figure there itself..,ham
Hey. You got any mail?,ham
Booked ticket for pongal?,ham
"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",ham
I want to be inside you every night...,ham
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham
I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,ham
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam
And now electricity just went out fml.,ham
Lol its ok I didn't remember til last nite,ham
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,ham
No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,ham
Have a good evening! Ttyl,ham
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,ham
I'm fine. Hope you are good. Do take care.,ham
Your bill at 3 is £33.65 so thats not bad!,ham
Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,spam
We'll join the  &lt;#&gt;  bus,ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
"That's very rude, you on campus?",ham
"Cool, I'll text you when I'm on the way",ham
Think + da. You wil do.,ham
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",ham
Would really appreciate if you call me. Just need someone to talk to.,ham
You always make things bigger than they are,ham
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",ham
"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",ham
He's just gonna worry for nothing. And he won't give you money its no use.,ham
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,ham
I want to be there so i can kiss you and feel you next to me,ham
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,spam
Jay says that you're a double-faggot,ham
Hmm .. Bits and pieces lol ... *sighs* ...,ham
Sitting in mu waiting for everyone to get out of my suite so I can take a shower,ham
I went to project centre,ham
No pic. Please re-send.,ham
"I am in tirupur da, once you started from office call me.",ham
"There're some people by mu, I'm at the table by lambda",ham
Nope... C ü then...,ham
Nan sonathaya soladha. Why boss?,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,spam
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham
What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,ham
"That's cool he'll be here all night, lemme know when you're around",ham
"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham
"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",ham
Detroit. The home of snow. Enjoy it.,ham
I know girls always safe and selfish know i got it pa. Thank you. good night.,ham
Haha i think i did too,ham
R u still working now?,ham
Dear got train and seat mine lower seat,ham
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",ham
Ok lor.,ham
Somebody should go to andros and steal ice,ham
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham
I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,ham
"Damn, poor zac doesn't stand a chance",ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
"Its ok., i just askd did u knw tht no?",ham
"Oh... Icic... K lor, den meet other day...",ham
"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam
At WHAT TIME should i come tomorrow,ham
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
But pls dont play in others life.,ham
Thats cool. i liked your photos. You are very sexy!,ham
It's justbeen overa week since we broke up and already our brains are going to mush!,ham
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam
Wat would u like 4 ur birthday?,ham
"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",ham
"Sorry, I'll call later",ham
Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,ham
Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?,ham
Yup i'm free...,ham
Yes. Rent is very expensive so its the way we save.,ham
"Total disappointment, when I texted you was the craziest shit got :(",ham
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",spam
We will meet soon princess! Ttyl!,ham
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,spam
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,ham
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,spam
Yes i have. So that's why u texted. Pshew...missing you so much,ham
"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",ham
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham
Oh...i asked for fun. Haha...take care. ü,ham
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,ham
"Doing nothing, then u not having dinner w us?",ham
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ham
Thanks for looking out for me. I really appreciate.,ham
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,ham
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam
Geeeee ... I love you so much I can barely stand it,ham
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",ham
Really do hope the work doesnt get stressful. Have a gr8 day.,ham
Wrong phone! This phone! I answer this one but assume the other is people i don't well,ham
Boy you best get yo ass out here quick,ham
"Get the door, I'm here",ham
I'll text you when I drop x off,ham
WHO ARE YOU SEEING?,ham
"Awesome, I'll see you in a bit",ham
"I'm in a meeting, call me later at",ham
No..he joined today itself.,ham
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham
What class of  &lt;#&gt;  reunion?,ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham
Home so we can always chat,ham
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam
Only saturday and sunday holiday so its very difficult:),ham
Oic... I saw him too but i tot he din c me... I found a group liao...,ham
"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",ham
Sindu got job in birla soft ..,ham
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham
Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,ham
Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,ham
I to am looking forward to all the sex cuddling.. Only two more sleeps,ham
Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,ham
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",spam
The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,ham
You got called a tool?,ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam
"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......",ham
PRIVATE! Your 2003 Account Statement for 078,spam
You should get more chicken broth if you want ramen unless there's some I don't know about,ham
I'm done. C ü there.,ham
How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,ham
Yo theres no class tmrw right?,ham
At 7 we will go ok na.,ham
Ok...,ham
Crucify is c not s. You should have told me earlier.,ham
"Sure, whenever you show the fuck up &gt;:(",ham
Wewa is 130. Iriver 255. All 128 mb.,ham
"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",ham
K... Must book a not huh? so going for yoga basic on sunday?,ham
Thanx 4 sending me home...,ham
I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,ham
"Sorry, I'll call later",ham
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham
Happy birthday... May all ur dreams come true...,ham
Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,spam
No. I dont want to hear anything,ham
Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,ham
hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,ham
You intrepid duo you! Have a great time and see you both soon.,ham
I'm working technical support :)voice process.,ham
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,spam
<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,spam
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",spam
I not free today i haf 2 pick my parents up tonite...,ham
Jay is snickering and tells me that x is totally fucking up the chords as we speak,ham
I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,ham
Thinkin about someone is all good. No drugs for that,ham
I like you peoples very much:) but am very shy pa.,ham
Exactly. Anyways how far. Is jide her to study or just visiting,ham
"Yeah, we can probably swing by once my roommate finishes up with his girl",ham
Hi dis is yijue i would be happy to work wif ü all for gek1510...,ham
Hi mom we might be back later than  &lt;#&gt;,ham
"When you just put in the + sign, choose my number and the pin will show. Right?",ham
You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,spam
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!",ham
K go and sleep well. Take rest:-).,ham
Lmao ok I wont be needing u to do my hair anymore.,ham
Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,ham
I dont thnk its a wrong calling between us,ham
IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,spam
Ooooooh I forgot to tell u I can get on yoville on my phone,ham
So i'm doing a list of buyers.,ham
"Thanks, I'll keep that in mind",ham
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",ham
All sounds good. Fingers . Makes it difficult to type,ham
Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,spam
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham
"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV",ham
Good morning princess! Happy New Year!,ham
We're finally ready fyi,ham
I've not sent it. He can send me.,ham
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",ham
FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",ham
O we cant see if we can join denis and mina? Or does denis want alone time,ham
She went to attend another two rounds today..but still did't reach home..,ham
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham
"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",ham
"I'm back, lemme know when you're ready",ham
I donno if they are scorable,ham
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",ham
"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",ham
"Oh fine, I'll be by tonight",ham
I love your ass! Do you enjoy doggy style? :),ham
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham
"Sorry, I'll call later in meeting.",ham
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,ham
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham
I'll reach in ard 20 mins ok...,ham
Please CALL 08712402779 immediately as there is an urgent message waiting for you,spam
Sure! I am driving but will reach my destination soon.,ham
Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,ham
Its a site to simulate the test. It just gives you very tough questions to test your readiness.,ham
Same to u...,ham
When u wana see it then,ham
Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,ham
Now press conference da:),ham
Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,ham
No. But we'll do medical missions to nigeria,ham
Is that seriously how you spell his name?,ham
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
Package all your programs well,ham
I see the letter B on my car,ham
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham
"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",spam
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,ham
I think i am disturbing her da,ham
Ya that one is slow as poo,ham
U still going to the mall?,ham
What's up. Do you want me to come online?,ham
I am on the way to ur home,ham
Unni thank you dear for the recharge..Rakhesh,ham
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,ham
Are you free now?can i call now?,ham
How much it will cost approx . Per month.,ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam
"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",ham
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham
10 min later k...,ham
Host-based IDPS for linux systems.,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham
Dad says hurry the hell up,ham
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",ham
"Aight, can you text me the address?",ham
Good Morning plz call me sir,ham
Lmao!nice 1,ham
But i'm surprised she still can guess right lor...,ham
"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",ham
Cps is causing the outages to conserve energy.,ham
"Sorry, went to bed early, nightnight",ham
We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam
Hey now am free you can call me.,ham
"Haha I heard that, text me when you're around",ham
Good Morning plz call me sir,ham
Ok anyway no need to change with what you said,ham
"If we hit it off, you can move in with me :)",ham
Jokin only lar... :-) depends on which phone my father can get lor...,ham
No need to say anything to me. I know i am an outsider,ham
"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",ham
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,ham
"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",spam
When ü login dat time... Dad fetching ü home now?,ham
"It could work, we'll reach a consensus at the next meeting",ham
Be happy there. I will come after noon,ham
Ok,ham
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,spam
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",ham
How? Izzit still raining?,ham
hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,ham
I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,ham
It shall be fine. I have avalarr now. Will hollalater,ham
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,ham
Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,ham
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,ham
So what did the bank say about the money?,ham
Ok then i will come to ur home after half an hour,ham
Its like that hotel dusk game i think. You solve puzzles in a area thing,ham
";-( oh well, c u later",ham
Waiting in e car 4 my mum lor. U leh? Reach home already?,ham
Yes. Last  practice,ham
Yes:)here tv is always available in work place..,ham
Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,ham
Oh :-)only 4 outside players allowed to play know,ham
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
Yeah my usual guy's out of town but there're definitely people around I know,ham
I cant pick the phone right now. Pls send a message,ham
Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,ham
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",ham
"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight",ham
Missing you too.pray inshah allah,ham
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",ham
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spam
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",ham
I'm not sure if its still available though,ham
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,spam
Sitting ard nothing to do lor. U leh busy w work?,ham
Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,ham
URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,spam
"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",ham
K still are you loving me.,ham
Gibbs unsold.mike hussey,ham
Oh ic. I thought you meant mary jane.,ham
Yes. that will be fine. Love you. Be safe.,ham
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
I had askd u a question some hours before. Its answer,ham
I will lick up every drop :) are you ready to use your mouth as well?,ham
Shall i come to get pickle,ham
