,Message,Category,Predicted
161,Yup i'm free...,ham,ham
162,Yes. Rent is very expensive so its the way we save.,ham,ham
163,"Total disappointment, when I texted you was the craziest shit got :(",ham,ham
164,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",spam,spam
165,We will meet soon princess! Ttyl!,ham,ham
166,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,spam,spam
167,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,ham,ham
168,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,spam,spam
169,Yes i have. So that's why u texted. Pshew...missing you so much,ham,ham
170,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",ham,ham
171,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham,ham
172,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham,ham
173,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham,ham
174,Oh...i asked for fun. Haha...take care. ü,ham,ham
175,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,ham,ham
176,"Doing nothing, then u not having dinner w us?",ham,ham
177,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ham,ham
178,Thanks for looking out for me. I really appreciate.,ham,ham
179,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,ham,ham
180,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam,spam
181,Geeeee ... I love you so much I can barely stand it,ham,ham
182,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",ham,ham
183,Really do hope the work doesnt get stressful. Have a gr8 day.,ham,ham
184,Wrong phone! This phone! I answer this one but assume the other is people i don't well,ham,ham
185,Boy you best get yo ass out here quick,ham,ham
186,"Get the door, I'm here",ham,ham
187,I'll text you when I drop x off,ham,ham
188,WHO ARE YOU SEEING?,ham,ham
189,"Awesome, I'll see you in a bit",ham,ham
190,"I'm in a meeting, call me later at",ham,ham
191,No..he joined today itself.,ham,ham
192,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham,ham
193,What class of  &lt;#&gt;  reunion?,ham,ham
194,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham,ham
195,Home so we can always chat,ham,ham
196,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam,spam
197,Only saturday and sunday holiday so its very difficult:),ham,ham
198,Oic... I saw him too but i tot he din c me... I found a group liao...,ham,ham
199,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",ham,ham
200,Sindu got job in birla soft ..,ham,ham
201,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham,ham
202,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,ham,ham
203,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,ham,ham
204,I to am looking forward to all the sex cuddling.. Only two more sleeps,ham,ham
205,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,ham,ham
206,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam,spam
207,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",spam,spam
208,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,ham,ham
209,You got called a tool?,ham,ham
210,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,spam
211,"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......",ham,ham
212,PRIVATE! Your 2003 Account Statement for 078,spam,spam
213,You should get more chicken broth if you want ramen unless there's some I don't know about,ham,ham
214,I'm done. C ü there.,ham,ham
215,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,ham,ham
216,Yo theres no class tmrw right?,ham,ham
217,At 7 we will go ok na.,ham,ham
218,Ok...,ham,ham
219,Crucify is c not s. You should have told me earlier.,ham,ham
220,"Sure, whenever you show the fuck up &gt;:(",ham,ham
221,Wewa is 130. Iriver 255. All 128 mb.,ham,ham
222,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",ham,ham
223,K... Must book a not huh? so going for yoga basic on sunday?,ham,ham
224,Thanx 4 sending me home...,ham,ham
225,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,ham,ham
226,"Sorry, I'll call later",ham,ham
227,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham,ham
228,Happy birthday... May all ur dreams come true...,ham,ham
229,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,spam,spam
230,No. I dont want to hear anything,ham,ham
231,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,ham,ham
232,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,ham,ham
233,You intrepid duo you! Have a great time and see you both soon.,ham,ham
234,I'm working technical support :)voice process.,ham,ham
235,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,spam,spam
236,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,spam,spam
237,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",spam,spam
238,I not free today i haf 2 pick my parents up tonite...,ham,ham
239,Jay is snickering and tells me that x is totally fucking up the chords as we speak,ham,ham
240,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,ham,ham
241,Thinkin about someone is all good. No drugs for that,ham,ham
242,I like you peoples very much:) but am very shy pa.,ham,ham
243,Exactly. Anyways how far. Is jide her to study or just visiting,ham,ham
244,"Yeah, we can probably swing by once my roommate finishes up with his girl",ham,ham
245,Hi dis is yijue i would be happy to work wif ü all for gek1510...,ham,ham
246,Hi mom we might be back later than  &lt;#&gt;,ham,ham
247,"When you just put in the + sign, choose my number and the pin will show. Right?",ham,ham
248,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,spam,spam
249,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!",ham,ham
250,K go and sleep well. Take rest:-).,ham,ham
251,Lmao ok I wont be needing u to do my hair anymore.,ham,ham
252,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,ham,ham
253,I dont thnk its a wrong calling between us,ham,ham
254,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,spam,spam
255,Ooooooh I forgot to tell u I can get on yoville on my phone,ham,ham
256,So i'm doing a list of buyers.,ham,ham
257,"Thanks, I'll keep that in mind",ham,ham
258,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam,spam
259,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",ham,ham
260,All sounds good. Fingers . Makes it difficult to type,ham,ham
261,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,spam,spam
262,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham,ham
263,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV",ham,ham
264,Good morning princess! Happy New Year!,ham,ham
265,We're finally ready fyi,ham,ham
266,I've not sent it. He can send me.,ham,ham
267,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",ham,ham
268,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam,spam
269,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",ham,ham
270,O we cant see if we can join denis and mina? Or does denis want alone time,ham,ham
271,She went to attend another two rounds today..but still did't reach home..,ham,ham
272,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham,ham
273,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",ham,ham
274,"I'm back, lemme know when you're ready",ham,ham
275,I donno if they are scorable,ham,ham
276,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",ham,ham
277,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",ham,ham
278,"Oh fine, I'll be by tonight",ham,ham
279,I love your ass! Do you enjoy doggy style? :),ham,ham
280,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham,ham
281,"Sorry, I'll call later in meeting.",ham,ham
282,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,ham,ham
283,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham,ham
284,I'll reach in ard 20 mins ok...,ham,ham
285,Please CALL 08712402779 immediately as there is an urgent message waiting for you,spam,spam
286,Sure! I am driving but will reach my destination soon.,ham,ham
287,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,ham,ham
288,Its a site to simulate the test. It just gives you very tough questions to test your readiness.,ham,ham
289,Same to u...,ham,ham
290,When u wana see it then,ham,ham
291,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,ham,ham
292,Now press conference da:),ham,ham
293,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,ham,ham
294,No. But we'll do medical missions to nigeria,ham,ham
295,Is that seriously how you spell his name?,ham,ham
296,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam,spam
297,Package all your programs well,ham,ham
298,I see the letter B on my car,ham,ham
299,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,ham
300,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",spam,spam
301,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,ham,ham
302,I think i am disturbing her da,ham,ham
303,Ya that one is slow as poo,ham,ham
304,U still going to the mall?,ham,ham
305,What's up. Do you want me to come online?,ham,ham
306,I am on the way to ur home,ham,ham
307,Unni thank you dear for the recharge..Rakhesh,ham,ham
308,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,ham,ham
309,Are you free now?can i call now?,ham,ham
310,How much it will cost approx . Per month.,ham,ham
311,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham,ham
312,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,spam
313,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",ham,ham
314,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham,ham
315,10 min later k...,ham,ham
316,Host-based IDPS for linux systems.,ham,ham
317,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham,ham
318,Dad says hurry the hell up,ham,ham
319,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",ham,ham
320,"Aight, can you text me the address?",ham,ham
321,Good Morning plz call me sir,ham,ham
322,Lmao!nice 1,ham,ham
323,But i'm surprised she still can guess right lor...,ham,ham
324,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",ham,ham
325,Cps is causing the outages to conserve energy.,ham,ham
326,"Sorry, went to bed early, nightnight",ham,ham
327,We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam,spam
328,Hey now am free you can call me.,ham,ham
329,"Haha I heard that, text me when you're around",ham,ham
330,Good Morning plz call me sir,ham,ham
331,Ok anyway no need to change with what you said,ham,ham
332,"If we hit it off, you can move in with me :)",ham,ham
333,Jokin only lar... :-) depends on which phone my father can get lor...,ham,ham
334,No need to say anything to me. I know i am an outsider,ham,ham
335,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",ham,ham
336,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,ham,ham
337,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",spam,spam
